seq_name	seq_desc	pred_gene	gene_desc	e-value	bitscore
sp|Q5N638|MNME_SYNP6	tRNA modification GTPase MnmE OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)	MnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	2.4e-145	479.9
sp|Q899S2|MNME_CLOTE	tRNA modification GTPase MnmE OS=Clostridium tetani (strain Massachusetts / E88) OX=212717 GN=m	MnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	8.1e-132	435.3
sp|Q8DPZ8|MNME_STRR6	tRNA modification GTPase MnmE OS=Streptococcus pneumoniae (strain ATCC BAA-255 / R6) OX=171101	MnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	1.5e-131	434.4
sp|Q814F6|MNME_BACCR	tRNA modification GTPase MnmE OS=Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM	MnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	4.9e-131	432.7
sp|Q8Y3M4|MNME_LISMO	tRNA modification GTPase MnmE OS=Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD	MnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	8.2e-129	425.4
sp|Q7M901|MNME_WOLSU	tRNA modification GTPase MnmE OS=Wolinella succinogenes (strain ATCC 29543 / DSM 1740 / LMG 746	MnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	2.3e-124	410.7
sp|Q39ZT0|MNME_SYNC1	tRNA modification GTPase MnmE OS=Syntrophotalea carbinolica (strain DSM 2380 / NBRC 103641 / Gr	MnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	1.1e-120	398.6
sp|Q9PLM9|MNME_CHLMU	tRNA modification GTPase MnmE OS=Chlamydia muridarum (strain MoPn / Nigg) OX=243161 GN=mnmE PE=	MnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	1.6e-113	375.0
sp|Q6APY7|MNME_DESPS	tRNA modification GTPase MnmE OS=Desulfotalea psychrophila (strain LSv54 / DSM 12343) OX=177439	MnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	1.3e-112	372.0
sp|O84704|MNME_CHLTR	tRNA modification GTPase MnmE OS=Chlamydia trachomatis (strain D/UW-3/Cx) OX=272561 GN=mnmE PE=	MnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	3.7e-112	370.5
sp|Q7MVZ2|MNME_PORGI	tRNA modification GTPase MnmE OS=Porphyromonas gingivalis (strain ATCC BAA-308 / W83) OX=242619	MnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	1.3e-111	368.8
sp|Q821L2|MNME_CHLCV	tRNA modification GTPase MnmE OS=Chlamydia caviae (strain ATCC VR-813 / DSM 19441 / 03DC25 / GP	MnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	3e-111	367.5
sp|A5UY19|MNME_ROSS1	tRNA modification GTPase MnmE OS=Roseiflexus sp. (strain RS-1) OX=357808 GN=mnmE PE=3 SV=2	MnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	4.6e-111	366.9
sp|Q9PNX9|MNME_CAMJE	tRNA modification GTPase MnmE OS=Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 7	MnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	1.9e-109	361.6
sp|P97043|MNME_LEPIN	tRNA modification GTPase MnmE OS=Leptospira interrogans serogroup Icterohaemorrhagiae serovar L	MnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	1.3e-104	345.7
sp|Q9HT07|MNME_PSEAE	tRNA modification GTPase MnmE OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 10	MnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	8.9e-104	342.9
sp|Q8FBV3|MNME_ECOL6	tRNA modification GTPase MnmE OS=Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC) OX	MnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	3.4e-102	337.7
sp|P25522|MNME_ECOLI	tRNA modification GTPase MnmE OS=Escherichia coli (strain K12) OX=83333 GN=mnmE PE=1 SV=3	MnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	7.5e-102	336.5
sp|P0A175|MNME_PSEPK	tRNA modification GTPase MnmE OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 /	MnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	3.3e-101	334.4
sp|Q39BQ4|MNME_BURL3	tRNA modification GTPase MnmE OS=Burkholderia lata (strain ATCC 17760 / DSM 23089 / LMG 22485 /	MnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	2.2e-100	331.7
sp|A3DAS7|MNME_SHEB5	tRNA modification GTPase MnmE OS=Shewanella baltica (strain OS155 / ATCC BAA-1091) OX=325240 GN	MnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	2.7e-100	331.4
sp|Q0KFG6|MNME_CUPNH	tRNA modification GTPase MnmE OS=Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496	MnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	2.7e-100	331.4
sp|A9MJT6|MNME_SALAR	tRNA modification GTPase MnmE OS=Salmonella arizonae (strain ATCC BAA-731 / CDC346-86 / RSK2980	MnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	6.5e-100	330.1
sp|Q8ZKY3|MNME_SALTY	tRNA modification GTPase MnmE OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) O	MnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	8.5e-100	329.8
sp|B8GW34|MNME_CAUVN	tRNA modification GTPase MnmE OS=Caulobacter vibrioides (strain NA1000 / CB15N) OX=565050 GN=mn	MnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	2e-87	289.0
sp|P0CAX2|MNME_CAUVC	tRNA modification GTPase MnmE OS=Caulobacter vibrioides (strain ATCC 19089 / CB15) OX=190650 GN	MnmE	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	2e-87	289.0
sp|Q74H59|DNAK_GEOSL	Chaperone protein DnaK OS=Geobacter sulfurreducens (strain ATCC 51573 / DSM 12127 / PCA) OX=243	DnaK	Molecular chaperonne DnaK	0.0	1037.7
sp|P0C922|DNAK_BORBU	Chaperone protein DnaK OS=Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 /	DnaK	Molecular chaperonne DnaK	3.1e-303	1001.5
sp|Q2RNE6|DNAK_RHORT	Chaperone protein DnaK OS=Rhodospirillum rubrum (strain ATCC 11170 / ATH 1.1.1 / DSM 467 / LMG	DnaK	Molecular chaperonne DnaK	3.3e-301	994.8
sp|A7MIK5|DNAK_CROS8	Chaperone protein DnaK OS=Cronobacter sakazakii (strain ATCC BAA-894) OX=290339 GN=dnaK PE=3 SV	DnaK	Molecular chaperonne DnaK	2.2e-295	975.6
sp|Q56073|DNAK_SALTY	Chaperone protein DnaK OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287	DnaK	Molecular chaperonne DnaK	8.3e-295	973.7
sp|P0A6Y8|DNAK_ECOLI	Chaperone protein DnaK OS=Escherichia coli (strain K12) OX=83333 GN=dnaK PE=1 SV=2	DnaK	Molecular chaperonne DnaK	8.9e-295	973.6
sp|P0A6Z0|DNAK_ECO57	Chaperone protein DnaK OS=Escherichia coli O157:H7 OX=83334 GN=dnaK PE=3 SV=2	DnaK	Molecular chaperonne DnaK	8.9e-295	973.6
sp|O06430|DNAK_NITEU	Chaperone protein DnaK OS=Nitrosomonas europaea (strain ATCC 19718 / CIP 103999 / KCTC 2705 / N	DnaK	Molecular chaperonne DnaK	2.4e-294	972.1
sp|Q45551|DNAK_GEOSE	Chaperone protein DnaK OS=Geobacillus stearothermophilus OX=1422 GN=dnaK PE=3 SV=2	DnaK	Molecular chaperonne DnaK	5.1e-294	971.1
sp|A8ALU3|DNAK_CITK8	Chaperone protein DnaK OS=Citrobacter koseri (strain ATCC BAA-895 / CDC 4225-83 / SGSC4696) OX=	DnaK	Molecular chaperonne DnaK	7.8e-294	970.4
sp|A5FGL1|DNAK_FLAJ1	Chaperone protein DnaK OS=Flavobacterium johnsoniae (strain ATCC 17061 / DSM 2064 / JCM 8514 /	DnaK	Molecular chaperonne DnaK	3.2e-293	968.4
sp|Q9HV43|DNAK_PSEAE	Chaperone protein DnaK OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 /	DnaK	Molecular chaperonne DnaK	1.3e-291	963.1
sp|P43736|DNAK_HAEIN	Chaperone protein DnaK OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) OX	DnaK	Molecular chaperonne DnaK	3.4e-290	958.4
sp|P17820|DNAK_BACSU	Chaperone protein DnaK OS=Bacillus subtilis (strain 168) OX=224308 GN=dnaK PE=1 SV=3	DnaK	Molecular chaperonne DnaK	5.6e-289	954.4
sp|O34241|DNAK_VIBCH	Chaperone protein DnaK OS=Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	DnaK	Molecular chaperonne DnaK	1.1e-288	953.5
sp|Q9K0N4|DNAK_NEIMB	Chaperone protein DnaK OS=Neisseria meningitidis serogroup B (strain MC58) OX=122586 GN=dnaK PE	DnaK	Molecular chaperonne DnaK	9.1e-287	947.1
sp|Q182E8|DNAK_CLOD6	Chaperone protein DnaK OS=Clostridioides difficile (strain 630) OX=272563 GN=dnaK PE=3 SV=1	DnaK	Molecular chaperonne DnaK	5.6e-286	944.5
sp|Q49Y22|DNAK_STAS1	Chaperone protein DnaK OS=Staphylococcus saprophyticus subsp. saprophyticus (strain ATCC 15305	DnaK	Molecular chaperonne DnaK	7.5e-285	940.8
sp|P0C0C5|DNAK_STRPY	Chaperone protein DnaK OS=Streptococcus pyogenes OX=1314 GN=dnaK PE=3 SV=2	DnaK	Molecular chaperonne DnaK	4.4e-284	938.2
sp|P68837|DNAK_STRP8	Chaperone protein DnaK OS=Streptococcus pyogenes serotype M18 (strain MGAS8232) OX=186103 GN=dn	DnaK	Molecular chaperonne DnaK	4.4e-284	938.2
sp|O06942|DNAK_STRMU	Chaperone protein DnaK OS=Streptococcus mutans serotype c (strain ATCC 700610 / UA159) OX=21000	DnaK	Molecular chaperonne DnaK	4.4e-284	938.2
sp|P0DB70|DNAK_STRP3	Chaperone protein DnaK OS=Streptococcus pyogenes serotype M3 (strain ATCC BAA-595 / MGAS315) OX	DnaK	Molecular chaperonne DnaK	5e-284	938.1
sp|P0DB71|DNAK_STRPQ	Chaperone protein DnaK OS=Streptococcus pyogenes serotype M3 (strain SSI-1) OX=193567 GN=dnaK P	DnaK	Molecular chaperonne DnaK	5e-284	938.1
sp|Q05558|DNAK_STRCO	Chaperone protein DnaK OS=Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145) OX=10022	DnaK	Molecular chaperonne DnaK	4.4e-280	925.0
